,relationships,funding_rounds,funding_total_usd,log_funding_total_usd,milestones,log_milestones,avg_participants,log_avg_participants,age_funding_span,age_milestone_span,funding_duration_days,lifetime_days,relationships_per_round,milestones_per_year,funding_per_participant,is_top500,labels,is_CA,is_NY,is_MA,is_TX,is_otherstate,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD
23,4.0,2,2300000,14.648420115681892,3,1.3862943611198906,2.0,1.0986122886681096,4.3151,1.9670999999999994,1575,1886.0,1.3333333333333333,1.011088268005797,766666.6666666666,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
24,5.0,2,455000,13.02805489573287,0,0.0,4.5,1.7047480922384253,0.08490000000000003,0.0,31,1886.0,1.6666666666666667,0.0,82727.27272727272,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
25,3.0,1,13000000,16.380459992348886,1,0.6931471805599453,4.0,1.6094379124341003,0.0,0.0,0,1886.0,1.5,1.0,2600000.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,7.0,1,15000000,16.52356082573315,1,0.6931471805599453,4.0,1.6094379124341003,0.0,0.0,0,1886.0,3.5,1.0,3000000.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,2.0,1,3800000,15.150511887854474,3,1.3862943611198906,2.0,1.0986122886681096,0.0,1.8109000000000002,0,1886.0,1.0,1.0672738268881852,1266666.6666666667,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
28,20.5,5,57725000,19.517624978858677,2,1.0986122886681096,1.75,1.0116009116784799,2.0247,0.7452000000000005,739,1886.0,6.0,1.146000458400183,15509048.343547765,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
29,5.0,1,1000000,13.815511557963774,3,1.3862943611198906,2.0,1.0986122886681096,0.0,5.465625000000001,0,1886.0,2.5,0.45549094332174367,333333.3333333333,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
30,3.0,2,10500000,16.166885910365842,1,0.6931471805599453,2.0,1.0986122886681096,0.8110000000000002,0.0,296,1886.0,1.0,1.0,3500000.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
31,6.0,2,8600000,15.967272877502799,1,0.6931471805599453,1.5,0.9162907318741551,1.0136999999999992,0.0,370,1886.0,2.0,1.0,3440000.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
32,9.0,2,5000000,15.424948670398354,0,0.0,2.5,1.252762968495368,2.1863,0.0,798,1886.0,3.0,0.0,1428571.4285714286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
33,3.0,2,2304999,14.650591234412886,2,1.0986122886681096,5.0,1.791759469228055,0.8685,1.7534,317,1886.0,1.0,0.7263746640517179,384166.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,2.0,1,25000,11.509855721179598,0,0.0,1.0,0.6931471805599453,0.0,0.0,0,1886.0,1.0,0.0,12500.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
35,1.0,1,4000000,15.201805169084134,1,0.6931471805599453,1.0,0.6931471805599453,0.0,0.0,0,1886.0,0.5,1.0,2000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,8.0,2,14600000,16.496532155171714,3,1.3862943611198906,2.0,1.0986122886681096,0.9753000000000001,3.3315,356,1886.0,2.6666666666666665,0.6926007156874062,4866666.666666667,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
37,0.0,3,44000000,17.599700214609808,0,0.0,4.5,1.7047480922384253,4.6384,0.0,1693,1886.0,0.0,0.0,8000000.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
38,10.0,3,1822922,14.41595181469963,3,1.3862943611198906,2.3333,1.2039628042759356,2.4822,4.1425,906,1886.0,2.5,0.583373845405931,546882.0688206882,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
39,18.0,6,29915001,17.213870651662358,5,1.791759469228055,2.75,1.3217558399823195,5.9041,3.2959000000000005,2155,1886.0,2.25,1.1639004632323842,7977333.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
40,20.5,4,33000000,17.312018149733785,5,1.791759469228055,3.0,1.3862943611198906,4.8027,3.8958999999999997,1753,1886.0,5.2,1.0212626891889134,8250000.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
41,9.0,2,125000,11.736077016252437,2,1.0986122886681096,1.0,0.6931471805599453,0.5836,0.01090000000000002,213,1886.0,3.0,1.7001493054629804,62500.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42,7.0,2,4000000,15.201805169084134,2,1.0986122886681096,1.0,0.6931471805599453,2.2822,0.4602999999999997,833,1886.0,2.3333333333333335,1.3695815928233928,2000000.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
43,10.0,1,10000000,16.118095750958314,3,1.3862943611198906,2.0,1.0986122886681096,0.0,2.682199999999999,0,1886.0,5.0,0.8147303242626692,3333333.3333333335,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,20.5,1,6000000,15.607270193858982,4,1.6094379124341003,3.0,1.3862943611198906,0.0,1.4822000000000006,0,1886.0,6.0,1.6114736926919664,1500000.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,4.0,1,25000000,17.034386422832473,0,0.0,5.0,1.791759469228055,0.0,0.0,0,1886.0,2.0,0.0,4166666.6666666665,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
46,2.0,3,3750000,15.137266664613225,3,1.3862943611198906,2.0,1.0986122886681096,2.0273999999999996,1.9096000000000002,740,1886.0,0.5,1.0310695628265052,1250000.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
47,9.0,1,3000000,14.914123179965662,2,1.0986122886681096,1.0,0.6931471805599453,0.0,0.5452000000000001,0,1886.0,4.5,1.2943308309603934,1500000.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
48,6.0,2,1155000,13.959611767738522,2,1.0986122886681096,7.25,2.3513752571634776,1.0,0.3012999999999999,365,1886.0,2.0,1.5369246138476909,110000.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
49,11.0,1,10000000,16.118095750958314,2,1.0986122886681096,2.0,1.0986122886681096,0.0,2.6273999999999997,0,1886.0,5.5,0.5513591001819486,3333333.3333333335,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,5.0,1,3000000,14.914123179965662,1,0.6931471805599453,1.0,0.6931471805599453,0.0,0.0,0,1886.0,2.5,1.0,1500000.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51,4.0,2,11500000,16.257857680289998,3,1.3862943611198906,1.0,0.6931471805599453,0.5534000000000001,1.2767,202,1886.0,1.3333333333333333,1.3176966662274345,5750000.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,12.0,1,5000000,15.424948670398354,5,1.791759469228055,3.0,1.3862943611198906,0.0,4.274,0,1886.0,6.0,0.9480470231323473,1250000.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,9.0,2,29000000,17.182806422433504,1,0.6931471805599453,5.0,1.791759469228055,1.6273999999999997,0.0,594,1886.0,3.0,1.0,4833333.333333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
54,20.5,6,34700000,17.36225027373553,4,1.6094379124341003,5.0,1.791759469228055,5.5617,3.548,2030,1886.0,5.285714285714286,0.8795074758135444,5783333.333333333,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
55,0.0,2,12050000,16.304575300888487,0,0.0,2.0,1.0986122886681096,2.3123000000000005,0.0,844,1886.0,0.0,0.0,4016666.6666666665,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
56,13.0,3,12000000,16.300417291085605,2,1.0986122886681096,2.0,1.0986122886681096,2.5971999999999995,2.7507,948,1886.0,3.25,0.5332337963580132,4000000.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
57,18.0,1,5500000,15.520258832020865,1,0.6931471805599453,2.0,1.0986122886681096,0.0,0.0,0,1886.0,6.0,1.0,1833333.3333333333,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,10.0,3,24000000,16.993564429978885,4,1.6094379124341003,3.3333,1.4663293764561487,2.1644000000000005,2.3589,790,1886.0,2.5,1.1908660573402006,5538504.142339557,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
59,6.0,2,10000000,16.118095750958314,2,1.0986122886681096,4.5,1.7047480922384253,0.9863,5.3864,360,1886.0,2.0,0.31316547663785543,1818181.8181818181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
60,10.0,3,19009671,16.760458460238958,1,0.6931471805599453,2.0,1.0986122886681096,6.986375,0.0,2550,1886.0,2.5,1.0,6336557.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
61,6.0,1,5000000,15.424948670398354,1,0.6931471805599453,1.0,0.6931471805599453,0.0,0.0,0,1886.0,3.0,1.0,2500000.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
62,2.0,5,18914576,16.7554434525954,1,0.6931471805599453,3.0,1.3862943611198906,5.2575,0.0,1919,1886.0,0.3333333333333333,1.0,4728644.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
63,0.0,1,4000000,15.201805169084134,0,0.0,3.0,1.3862943611198906,0.0,0.0,0,1886.0,0.0,0.0,1000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
64,5.0,3,2030882,14.523981231813066,2,1.0986122886681096,3.0,1.3862943611198906,1.4576,1.4601999999999997,532,1886.0,1.25,0.8129420372327455,507720.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
65,4.0,1,5000000,15.424948670398354,2,1.0986122886681096,1.0,0.6931471805599453,0.0,5.465625000000001,0,1886.0,2.0,0.2383278915131438,2500000.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
66,5.0,1,20500000,16.835935492889124,0,0.0,4.0,1.6094379124341003,0.0,0.0,0,1886.0,2.5,0.0,4100000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
67,4.0,2,13250000,16.3995081858682,4,1.6094379124341003,2.0,1.0986122886681096,2.5589000000000004,3.1096000000000004,934,1886.0,1.3333333333333333,0.9733307377846991,4416666.666666667,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
68,7.0,1,12000000,16.300417291085605,1,0.6931471805599453,2.0,1.0986122886681096,0.0,0.0,0,1886.0,3.5,1.0,4000000.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
69,9.0,3,11489687,16.256960495409263,2,1.0986122886681096,3.3333,1.4663293764561487,1.6905000000000001,0.31510000000000016,617,1886.0,2.25,1.5207968975743287,2651486.6268202066,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
70,15.0,1,4000000,15.201805169084134,3,1.3862943611198906,3.0,1.3862943611198906,0.0,1.3096,0,1886.0,6.0,1.2989262209906476,1000000.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
71,3.0,1,355000,12.779875885354993,1,0.6931471805599453,1.0,0.6931471805599453,0.0,0.0,0,1886.0,1.5,1.0,177500.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72,10.0,2,118000,11.678448377988165,3,1.3862943611198906,1.5,0.9162907318741551,0.2466,2.8987000000000003,90,1886.0,3.3333333333333335,0.7694872649857645,47200.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
73,17.0,4,40400000,17.514340367683854,3,1.3862943611198906,1.6667,0.980841752933602,6.986375,3.0932000000000004,2550,1886.0,3.4,0.732922896511287,15149810.627367157,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
74,1.0,1,3000000,14.914123179965662,0,0.0,1.0,0.6931471805599453,0.0,0.0,0,1886.0,0.5,0.0,1500000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
75,2.0,2,19700000,16.796129244469636,1,0.6931471805599453,4.0,1.6094379124341003,1.3041,0.0,476,1886.0,0.6666666666666666,1.0,3940000.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
76,0.0,2,17800000,16.694709071442087,0,0.0,1.0,0.6931471805599453,0.03020000000000067,0.0,11,1886.0,0.0,0.0,8900000.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
77,12.0,3,57500000,17.867295523158884,3,1.3862943611198906,4.0,1.6094379124341003,2.0875999999999997,0.6932,762,1886.0,3.0,1.7001493054629804,11500000.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
78,10.0,3,17200000,16.660419999923214,5,1.791759469228055,2.6667,1.2992920749980297,2.3726000000000003,3.0548,866,1886.0,2.5,1.2331064417480517,4690866.446668667,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
79,4.0,6,457282,13.03305773423396,2,1.0986122886681096,1.0,0.6931471805599453,1.9261,1.5479,703,1886.0,0.5,0.7849601632717139,228641.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
80,11.0,4,18500000,16.733281344102608,3,1.3862943611198906,2.25,1.1786549963416462,2.0548,0.8492999999999999,750,1886.0,2.2,1.6222354404369221,5692307.692307692,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
81,2.0,1,12000000,16.300417291085605,0,0.0,6.0,1.9459101490553132,0.0,0.0,0,1886.0,1.0,0.0,1714285.7142857143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
82,5.0,2,57725000,20.04992128564343,3,1.3862943611198906,2.5,1.252762968495368,0.44389999999999974,0.8822000000000005,162,1886.0,1.6666666666666667,1.5938795027095947,15509048.343547765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
83,3.0,2,18250000,16.719675692787295,1,0.6931471805599453,2.5,1.252762968495368,0.7479999999999998,0.0,273,1886.0,1.0,1.0,5214285.714285715,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
84,13.0,4,41500019,17.541204467128523,5,1.791759469228055,4.0,1.6094379124341003,3.4768,3.8603,1269,1886.0,2.6,1.0287430817027754,8300003.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
85,1.0,1,1000000,13.815511557963774,0,0.0,3.0,1.3862943611198906,0.0,0.0,0,1886.0,0.5,0.0,250000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
86,7.0,1,5000000,15.424948670398354,2,1.0986122886681096,1.0,0.6931471805599453,0.0,1.6766999999999999,0,1886.0,3.5,0.7471887025068181,2500000.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
87,2.0,3,42700000,17.569709501618057,1,0.6931471805599453,3.6667,1.5404521837787817,2.778100000000001,0.0,1014,1886.0,0.5,1.0,9149934.643323975,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
88,7.0,1,12000000,16.300417291085605,0,0.0,7.25,2.302585092994046,0.0,0.0,0,1886.0,3.5,0.0,1200000.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
89,5.0,2,22300000,16.920097281273396,2,1.0986122886681096,4.5,1.7047480922384253,0.5781000000000001,5.465625000000001,211,1886.0,1.6666666666666667,0.2807687448233263,4054545.4545454546,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
90,5.0,2,10000000,16.118095750958314,1,0.6931471805599453,4.0,1.6094379124341003,3.8685,0.0,1412,1886.0,1.6666666666666667,1.0,2000000.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
91,1.0,3,15564591,16.560509148857687,0,0.0,3.5,1.5040773967762742,3.4987,0.0,1277,1886.0,0.25,0.0,3458798.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
92,7.0,1,500000,13.122365377402328,2,1.0986122886681096,5.0,1.791759469228055,0.0,2.189,0,1886.0,3.5,0.6271558482282847,83333.33333333333,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
93,20.5,2,8950000,16.007164201982874,2,1.0986122886681096,7.0,2.0794415416798357,1.2246,0.8382999999999998,447,1886.0,6.0,1.0879617037480283,1118750.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
94,8.0,4,55350000,17.829187235185767,2,1.0986122886681096,4.0,1.6094379124341003,3.0713000000000004,0.8165000000000004,1121,1886.0,1.6,1.1010184420589042,11070000.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
95,1.0,1,4000000,15.201805169084134,0,0.0,3.0,1.3862943611198906,0.0,0.0,0,1886.0,0.5,0.0,1000000.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
96,3.0,5,10764323,16.191747890710374,3,1.3862943611198906,2.0,1.0986122886681096,4.8165000000000004,1.6465999999999998,1758,1886.0,0.5,1.1335298118340513,3588107.6666666665,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
97,1.0,1,5500000,15.520258832020865,1,0.6931471805599453,3.0,1.3862943611198906,0.0,0.0,0,1886.0,0.5,1.0,1375000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
98,7.0,1,400000,12.899222326086994,2,1.0986122886681096,3.0,1.3862943611198906,0.0,3.0987000000000005,0,1886.0,3.5,0.48795959694537283,100000.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
99,3.0,3,54000000,17.804494623047066,0,0.0,2.6667,1.2992920749980297,2.263,0.0,826,1886.0,0.75,0.0,14727138.844192326,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
100,2.0,1,32000000,17.281246492014,0,0.0,7.0,2.0794415416798357,0.0,0.0,0,1886.0,1.0,0.0,4000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
101,1.0,1,13000000,16.380459992348886,0,0.0,4.0,1.6094379124341003,0.0,0.0,0,1886.0,0.5,0.0,2600000.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,5.0,3,12500000,16.341239282272525,0,0.0,2.3333,1.2039628042759356,1.1863000000000001,0.0,433,1886.0,1.25,0.0,3750037.500375004,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
103,16.0,4,38064570,17.454794512463224,2,1.0986122886681096,3.0,1.3862943611198906,5.9315,5.465625000000001,2165,1886.0,3.2,0.24148173190698125,9516142.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
104,20.5,2,6000000,15.607270193858982,2,1.0986122886681096,4.0,1.6094379124341003,1.7507,2.4273999999999996,639,1886.0,6.0,0.5835327070082279,1200000.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
105,4.0,2,5000000,15.424948670398354,6,1.9459101490553132,1.0,0.6931471805599453,2.3671,5.030099999999999,864,1886.0,1.3333333333333333,0.9950083746538202,2500000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
106,9.0,3,57725000,17.893048018819147,3,1.3862943611198906,2.0,1.0986122886681096,6.986375,4.8986,2550,1886.0,2.25,0.5085952598921778,15509048.343547765,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
